,brand,model,price,province,matriculation,fuel,kilometres,gear
1214,TOYOTA,Auris hybrid 140H Feel!,15220,Madrid,2018, Híbrido,81691,Automático
1215,SSANGYONG,Korando D20T ECO Premium Plus 4x4,11900,Tarragona,2014, Diésel,136300,Manual
1216,BMW,Serie 5 520iA,31900,Madrid,2019, Gasolina,24500,Automático
1217,VOLKSWAGEN,Golf e-Golf ePower,17000,Zamora,2016, Eléctrico,20000,Automático
1218,MERCEDES-BENZ,Clase A 180 d,29900,Barcelona,2019, Diésel,28343,Automático
1219,MINI,Mini CLUBMAN COOPER D,20900,Madrid,2017, Diésel,79886,Manual
1220,SEAT,Arona 1.0 TSI Ecomotive S&S Style 110,16800,Castellón,2021, Gasolina,17360,Manual
1221,TOYOTA,Aygo 1.0 70 x-play,10240,Palencia,2019, Gasolina,24598,Manual
1222,TOYOTA,Aygo 1.0 70 x-play,10240,Málaga,2019, Gasolina,24598,Manual
1223,TOYOTA,C-HR 1.8 125H Advance,19740,Guadalajara,2017, Híbrido,47519,Automático
1224,LEXUS,RX 450h Executive Tecno,37890,Valladolid,2016, Híbrido,162948,Automático
1225,MERCEDES-BENZ,Clase C 300BlueTec Hybrid,29500,Asturias,2016, Híbrido,78000,Automático
1226,OPEL,Corsa 1.3CDTI Expression 75,7990,Pontevedra,2016, Diésel,115658,Manual
1227,PEUGEOT,308 SW 1.5BlueHDi S&S Active 130,10990,Pontevedra,2018, Diésel,137284,Manual
1228,HYUNDAI,Kona 1.0 TGDI Klass 4x2,17600,Zaragoza,2018, Gasolina,38825,Manual
1229,SEAT,Exeo 2.0TDI CR Style,6500,Granada,2012, Diésel,203000,Manual
1230,TOYOTA,C-HR 125H Dynamic Plus,21990,Soria,2017, Híbrido,67802,Automático
1231,TOYOTA,C-HR 125H Advance,21500,Valencia,2017, Híbrido,40407,Automático
1232,FORD,Focus 1.0 Ecoboost Trend+ 125,14500,Alicante,2018, Gasolina,31685,Manual
1233,KIA,Niro 1.6 HEV Drive,21495,Madrid,2019, Híbrido,23000,Automático
1234,FIAT,500 1.0 Hybrid Dolcevita 52kW,12998,Valencia,2021, Gasolina,18133,Manual
1235,BMW,X1 sDrive 18d,25900,Madrid,2017, Diésel,78600,Manual
